sp_id	stco	latitude	longitude	elevation
450149290	42003	40.3875890	-79.9843150	363.575385
450063645	42003	40.4489174	-79.9494021	277.775017
450112699	42003	40.5694440	-80.0354150	363.420551
450120173	42003	40.3660670	-79.7838710	334.264217
450134115	42003	40.3889600	-80.0344580	346.976478
450057650	42003	40.4059614	-79.8285159	226.734227
450142450	42003	40.5125050	-80.2153620	360.928413
450142471	42003	40.3689700	-79.9744950	374.554495
450066968	23015	0.0000000	0.0000000	340.684686
450149306	42003	40.4232320	-79.9233860	333.602414
450086565	42003	40.4125190	-79.9018690	229.725643
450075283	42003	40.5610988	-79.9732072	334.622444
450073342	42003	40.4649073	-79.9387811	300.895278
450102533	42003	40.4472120	-79.9056300	297.285793
450102522	42003	40.4458510	-79.9164050	327.968463
450057390	42003	40.4348789	-79.9249855	342.576542
450149325	42003	40.4604070	-79.9004910	278.107749
450119183	42003	40.5646800	-79.9033160	338.790397
450087379	42003	40.3456010	-79.8480600	284.429360
450119679	42003	40.3717280	-79.8475410	262.796555
450131555	42003	40.4510040	-80.1281490	367.000249
450149300	42003	40.4560340	-80.0269070	230.808132
450048655	42003	40.3611479	-79.9716010	355.451688
450067837	42003	40.3470745	-79.8181941	289.013404
450149687	42003	40.6081730	-79.9391250	339.787727
450075923	42003	40.4291750	-79.9305758	288.059104
450124148	42003	40.5864980	-80.0949580	372.671029
450149076	42003	40.6551930	-80.0107010	397.050414
450102520	42003	40.4540690	-80.0539710	269.905114
450152461	42003	40.5262830	-79.8446240	227.092520
450117492	42003	40.6455380	-79.8489540	347.188510
450066883	42003	40.3893406	-80.0284209	347.805048
450149292	42003	40.4527810	-79.8939290	278.422558
450114202	42003	40.3791230	-80.1102040	252.258864
450066900	42003	40.5438872	-80.1895225	227.965539
450102526	42003	40.4278290	-79.9791890	229.770964
450150955	42003	40.4078370	-79.7488590	361.746952
450065555	42007	40.6521226	-80.2259200	284.310669
450132432	42003	40.5231230	-79.9688670	272.958711
450129825	42003	40.4794130	-79.7076220	352.282096
450104958	42003	40.3563400	-80.0160860	386.491403
450121426	42003	40.2560850	-79.8545120	355.291784
450102518	42003	40.4510870	-80.0490110	268.235485
450134049	42003	40.5131060	-79.9179410	357.064800
450143658	42003	40.3051180	-80.0227540	357.141010
450150652	42003	40.5618120	-80.2033970	231.741020
450146674	42003	40.4561350	-79.8879630	292.429685
450149298	42003	40.4548620	-80.0054020	234.883895
450048503	42003	40.4009185	-80.0638544	343.374028
450074026	42003	40.4273067	-79.8560795	363.034885
450130127	42003	40.3752740	-80.0680710	355.924049
450068025	42003	40.5208721	-80.0291180	347.150482
450119091	42003	40.4213670	-80.2320000	314.033332
450121197	42003	40.3482360	-80.0632220	364.507587
450149347	42003	40.4938350	-79.7506330	321.246234
450050861	42003	40.3960650	-80.0289484	365.968466
450116529	42003	40.5093260	-80.1678030	281.774720
450143347	42003	40.3675440	-80.0236360	332.907339
450120055	42003	40.3449990	-79.9242530	372.577346
450121425	42003	40.2735440	-79.8269600	323.451333
450136842	42003	40.3864230	-80.0477270	368.143085
450149294	42003	40.4745470	-79.9217580	291.277590
450144841	42003	40.5237900	-80.0295700	314.594071
450107620	42003	40.3558980	-79.9797190	353.456137
450118168	42003	40.6182950	-79.8529520	351.134879
450080446	42003	40.4360550	-79.8971230	278.076217
450068185	42003	40.5327162	-79.9694840	330.278198
450075140	42003	40.3197028	-80.0801995	367.713968
450075142	42003	40.3237317	-79.9389070	313.238810
450122911	42003	40.6491340	-79.7475260	367.213562
450067630	42003	40.4008895	-80.0635655	343.630390
450139597	42003	40.6417290	-80.0935030	381.160843
450121683	42003	40.3803180	-79.9738820	359.936022
450105076	42003	40.5434390	-79.8161970	232.891962
450118169	42003	40.6173360	-79.8528680	345.732935
450102515	42003	40.4551700	-80.0085610	234.817307
450129269	42003	40.5245250	-80.0540550	367.579456
450067678	42003	40.4383754	-79.9652998	285.262471
450075532	42003	40.3341818	-79.9352835	363.805903
450150653	42003	40.5344390	-80.1800000	225.210722
450125133	42003	40.4299230	-79.7513520	373.983456
450149299	42003	40.4605040	-79.9126050	282.630538
450114904	42003	40.2938700	-79.8853670	283.875337
450149283	42003	40.4071780	-80.0363280	317.371342
450149328	42003	40.4632290	-79.9573290	276.751483
450149293	42003	40.4688050	-79.9419960	339.631875
450140263	42003	40.3457240	-79.9967570	358.645355
450149319	42003	40.4654320	-79.9897370	308.881289
450087378	42003	40.4052520	-79.9101430	253.184540
450048751	42003	40.4567770	-79.9992113	244.379135
450077069	42007	40.6974330	-80.3175900	249.608644
450149307	42003	40.4803810	-80.0396890	287.550172
450140319	42003	40.3512890	-79.8091110	357.590805
450072734	42003	40.4384762	-79.9641150	299.629437
450148310	42003	40.5653310	-80.0087090	344.285275
450144842	42003	40.5237380	-80.0296000	315.042311
450066045	42003	40.4688733	-80.1455083	343.523724
450130810	42003	40.5239870	-80.1984300	354.972331
450130062	42003	40.3884150	-79.8752060	352.836511
450059152	42125	40.3049000	-80.1286700	303.710668
450149318	42003	40.4641040	-79.9858420	241.203117
450073673	42003	40.4057049	-80.0375986	301.966406
450128232	42003	40.5646800	-79.9033160	338.790397
450066195	42003	40.5786715	-79.9584943	343.533387
450059022	42003	40.4505002	-79.9293832	284.143248
450151787	42003	40.6577230	-79.9601510	388.618790
450149311	42003	40.4665670	-79.9225860	281.569577
450078123	42003	40.4716240	-79.9595670	235.802166
450113419	42003	40.5717080	-79.9271960	353.702202
450134114	42003	40.3889430	-80.0344580	346.601470
450118762	42003	40.4231120	-79.8932710	278.932127
450109857	42003	40.5463590	-80.2399290	333.230369
450073931	42125	40.4191318	-80.4606937	399.915760
450102519	42003	40.4687700	-79.9178470	282.422544
450107374	42003	40.5396060	-80.0947640	372.333642
450126762	42003	40.3757540	-79.8247560	341.761678
450120031	42003	40.3655900	-79.7869960	349.215371
450130477	42003	40.3760650	-80.0308540	370.446863
450149303	42003	40.3697850	-79.9132940	350.606189
450102521	42003	40.4533570	-79.9340380	274.928865
450128639	42003	40.6183000	-79.7325310	298.466946
450119161	42003	40.3933980	-80.0450230	349.566246
450114903	42003	40.2938700	-79.8853670	283.875337
450122324	42003	40.4453020	-79.7720630	340.037002
450123596	42003	40.4843810	-80.1378300	333.930747
450051457	42003	40.5223546	-80.1810076	261.435460
450052042	42003	40.5413176	-79.8006240	233.085248
450124302	42003	40.4241050	-80.0434010	363.672071
450149291	42003	40.4514180	-80.0248720	229.456978
450114906	42003	40.3430870	-79.9205110	369.802155
450063652	42003	40.4368934	-79.9562999	272.323275
450069117	42003	40.2874801	-80.0255117	301.975839
450057652	42003	40.5104939	-80.0999756	249.574195
450148402	42003	40.4682660	-79.8188900	373.742955
450140462	42003	40.3437930	-79.8297420	286.968845
450107553	42003	40.3372940	-80.0956920	351.787711
450149301	42003	40.4801310	-79.9511000	243.960222
450123869	42003	40.3470640	-79.8342740	282.070433
450117895	42003	40.4856830	-80.1049840	347.366169
450071777	42003	40.3421268	-80.0529711	358.421914
450060001	42003	40.4282400	-79.7511464	366.626535
450048530	42003	40.4622813	-79.9099129	279.756552
450140339	42003	40.4775840	-80.1764210	349.430650
450120925	42003	40.5032020	-80.0768700	253.997195
450122565	42003	40.4027840	-79.8637700	254.963584
450149308	42003	40.4085160	-79.9798690	325.569801
450117894	42003	40.4856830	-80.1049840	347.366169
450149530	42003	40.3320380	-79.9543280	333.032872
450139944	42003	40.5137070	-79.9679520	334.211160
450149302	42003	40.4713980	-80.0079200	343.338657
450139510	42003	40.3668990	-80.0540340	361.419340
450102517	42003	40.3890050	-80.0076370	368.239854
450114200	42003	40.3975960	-80.0770320	303.288425
450125125	42003	40.4458360	-79.7637660	344.996807
450051758	42003	40.4470190	-79.9468695	276.698060
450054780	42019	40.6760939	-79.7186497	359.005904
450151473	42003	40.4828940	-79.7763760	330.783413
450131504	42003	40.5005100	-80.1751270	341.977640
450119335	42003	40.4303850	-79.7538050	369.317719
450131159	42003	40.4446350	-80.0670470	277.646788
450102525	42003	40.4889820	-80.0179370	356.055153
450102514	42003	40.4551700	-80.0085610	234.817307
450064971	42003	40.4475445	-79.9039016	298.551956
450123853	42003	40.3635530	-80.0386280	371.694599
450069881	42003	40.3408818	-80.0162937	358.933817
450149305	42003	40.4488010	-79.9615810	331.772794
450076205	42003	40.3993180	-79.9681290	369.719371
450086847	42007	40.6323990	-80.4466000	238.029390
450068532	42003	40.4373161	-79.9248057	332.356388
450149316	42003	40.4023440	-80.0100730	351.427013
450115697	42003	40.5443130	-79.7842100	274.935830
450049606	42003	40.4058848	-79.9105244	243.704770
450137243	42003	40.4826320	-79.8147390	381.096209
450128119	42003	40.3514000	-80.0027970	370.488439
450149287	42003	40.3912030	-79.9885080	374.274728
450148185	42003	40.3819570	-79.9513550	348.451045
450116853	42003	40.4308430	-80.0669920	283.769987
450061742	42125	40.1405469	-79.8976871	233.184165
450122618	42003	40.5447280	-79.9028940	368.848123
450107290	42003	40.5004920	-80.0663260	293.329805
450087376	42003	40.4138210	-79.8512370	303.985815
450109050	42003	40.3245390	-80.0540960	343.013149
450130324	42003	40.5740270	-80.0007760	343.517337
450067304	25025	0.0000000	0.0000000	229.456978
450125584	42003	40.3025900	-79.9621590	362.514922
450108546	42003	40.4946490	-80.0537830	299.070477
450132244	42003	40.3815510	-80.0603850	359.019620
450075441	42003	40.5731227	-79.9280972	349.615611
450125411	42003	40.3403900	-79.8414010	318.536135
450123538	42003	40.4820040	-79.8272160	347.859890
450051478	42003	40.4429206	-79.9275862	319.582325
450127690	42003	40.5897770	-79.9453880	366.643690
450126895	42003	40.3122100	-79.8029750	309.502777
450050811	42003	40.4441327	-79.9970843	224.046657
450087377	42003	40.4092210	-79.8156670	289.900509
450065015	42007	40.5497219	-80.4570626	381.631402
450062389	42003	40.3754877	-80.0231915	340.040591
450102524	42003	40.4648430	-80.0241240	276.602559
450147621	42003	40.3819690	-79.9051200	341.827027
450074971	42003	40.3683000	-79.8944900	311.605158
450140459	42003	40.4134650	-80.1968430	283.441080
450149326	42003	40.4321660	-80.0494260	363.900718
450148400	42003	40.4589800	-79.8264290	375.467136
450120959	42003	40.5478070	-80.1908280	220.452384
450114201	42003	40.3786240	-80.1109970	253.524459
450149312	42003	40.4023470	-80.0101700	351.061650
450054421	42003	40.5303737	-80.0034868	336.275640
450124226	42003	40.3895520	-79.8997850	321.173541
450127687	42003	40.5812300	-79.9429320	360.880299
450061876	42003	40.5352793	-80.1862835	221.424296
450109054	42003	40.3330600	-80.0432290	335.181032
450149289	42003	40.4333390	-79.9145420	337.314906
450132404	42003	40.3819490	-80.0604850	360.918733
450102528	42003	40.4562530	-79.9928570	229.090689
450075285	42003	40.4437283	-79.9598972	306.805343
450143094	42003	40.2920930	-79.8109480	327.974796
450071848	42003	40.5595070	-79.9635035	257.097109
450149321	42003	40.4561350	-79.8879630	292.429685
450061845	42003	40.5192212	-79.9517832	242.586347
450133109	42003	40.4378700	-79.8750170	293.864547
450064228	42003	40.5031757	-80.1576510	328.176760
450120583	42003	40.6226540	-79.8582940	355.027137
450065061	42003	40.4384688	-80.0020353	224.021545
450072702	42003	40.4431167	-80.1544835	352.487097
450102527	42003	40.4573470	-79.9195670	281.509600
450140874	42003	40.3775150	-80.0459590	373.618834
450074842	42003	40.5545517	-80.0212490	351.454879
450145318	42003	40.5007140	-80.0619790	275.065225
450142414	42003	40.4676850	-80.1150750	298.344932
450131156	42003	40.5819570	-80.0524250	359.493103
450073701	42003	40.3898949	-80.0906946	255.569206
450149310	42003	40.4573470	-79.9195670	281.509600
450149295	42003	40.4242660	-79.9934100	364.417140
450149286	42003	40.4449620	-79.9988820	223.189117
450133777	42003	40.4411310	-79.8912550	270.928352
450149280	42003	40.4155490	-79.9720540	340.700814
450084476	42003	40.4555450	-80.0234860	232.500501
450149297	42003	40.4550830	-79.8996350	275.256963
450055120	42003	40.4985400	-80.0617700	294.297134
451000209	42003	40.4186592	-79.8881988	317.601540
451000749	42003	40.5095100	-80.0292282	317.601540
451000780	42003	40.4589615	-79.8702011	317.601540
451001010	42003	40.5150757	-79.8774262	317.601540
451001033	42003	40.5889091	-79.8264694	317.601540
451001633	42003	40.4505615	-80.0139008	317.601540
451001635	42003	40.4399109	-80.0001221	317.601540
451001636	42003	40.4567986	-79.9992676	317.601540
451001637	42003	40.4323616	-79.8652573	317.601540
451001638	42003	40.4135094	-79.9086914	317.601540
451001675	42003	40.4390106	-80.0013123	317.601540
451001676	42003	40.6566391	-80.0827713	317.601540
451001900	42003	40.5194702	-80.0024490	317.601540
451002431	42003	40.5756493	-79.8893204	317.601540
451002660	42003	40.4607391	-79.9381867	317.601540
451002687	42003	40.3163300	-79.8074036	317.601540
451002752	42003	40.4929810	-79.9036865	317.601540
451002968	42003	40.5010605	-80.0661468	317.601540
451002990	42003	40.6435013	-80.0540619	317.601540
451003211	42003	40.3810883	-79.9504013	317.601540
451003253	42003	40.4675598	-79.8087769	317.601540
451003256	42003	40.3750191	-79.8480606	317.601540
451003556	42003	40.4244690	-79.8875885	317.601540
451003622	42003	40.4146385	-80.0205612	317.601540
451003826	42003	40.5336990	-80.0019684	317.601540
451004028	42003	40.3663483	-80.0478668	317.601540
451004173	42003	40.4615288	-79.9248810	317.601540
451004562	42003	40.4113808	-79.8791885	317.601540
451004918	42003	40.4508400	-80.1157074	317.601540
451004919	42003	40.3500633	-79.8491821	317.601540
451005111	42003	40.3830605	-79.9552689	317.601540
451005278	42003	40.4552994	-79.7132263	317.601540
451005515	42003	40.4319115	-79.9588165	317.601540
451006795	42003	40.4457207	-79.9918976	317.601540
451007705	42003	40.4575806	-80.0759277	317.601540
451007706	42003	40.3491097	-80.1058502	317.601540
451007805	42003	40.2921600	-79.8871002	317.601540
451008001	42003	40.4036865	-79.8308334	317.601540
451008009	42003	40.3983307	-80.0355072	317.601540
451008017	42003	40.4371414	-80.0010986	317.601540
451008500	42003	40.4589882	-79.8437576	317.601540
451009194	42003	40.3870010	-79.9619293	317.601540
451009314	42003	40.4430504	-79.9268570	317.601540
451009367	42003	40.2943916	-79.8861237	317.601540
451009533	42003	40.4494705	-79.8093414	317.601540
451009691	42003	40.4331513	-79.9156265	317.601540
451009708	42003	40.5813904	-80.0370483	317.601540
451009709	42003	40.3288803	-80.0654068	317.601540
451009742	42003	40.4015198	-80.0419769	317.601540
451009949	42003	40.2946892	-79.8769302	317.601540
451010021	42003	40.4333382	-79.9613037	317.601540
451010022	42003	40.4432983	-79.9809723	317.601540
451010275	42003	40.5092316	-80.1682205	317.601540
451011937	42003	40.4002685	-79.8924484	317.601540
451012143	42003	40.3502502	-79.8631287	317.601540
451012150	42003	40.4211388	-80.2315979	317.601540
451012170	42003	40.3925095	-80.0102310	317.601540
451012347	42003	40.4724884	-80.0739670	317.601540
451012356	42003	40.5648994	-79.9885330	317.601540
451012988	42003	40.5307808	-80.0033188	317.601540
451012989	42003	40.5593681	-80.1056366	317.601540
451013762	42003	40.6625290	-80.0327683	317.601540
451014059	42003	40.5467491	-79.8992920	317.601540
451014240	42003	40.4596100	-79.9248962	317.601540
451014684	42003	40.4527397	-79.9633484	317.601540
451014893	42003	40.4452286	-80.1019134	317.601540
451014913	42003	40.4580002	-79.9174805	317.601540
451014920	42003	40.4515800	-79.7523117	317.601540
451015203	42003	40.4224205	-79.8861923	317.601540
451015213	42003	40.4237595	-80.0426331	317.601540
451015382	42003	40.4749489	-79.9220123	317.601540
451015957	42003	40.4280891	-79.7991104	317.601540
451015984	42003	40.3009682	-79.9603729	317.601540
451016107	42003	40.5358315	-80.0354996	317.601540
451016784	42003	40.4042397	-79.8621674	317.601540
451016855	42003	40.3747902	-79.8254776	317.601540
451016879	42003	40.4261513	-79.9451370	317.601540
451017232	42003	40.6129799	-80.0544815	317.601540
451017261	42003	40.4479408	-79.8959579	317.601540
451017262	42003	40.3221016	-80.0470734	317.601540
451017939	42003	40.4042282	-80.0286331	317.601540
451018365	42003	40.4403801	-80.2282105	317.601540
451018677	42003	40.6177597	-79.7275238	317.601540
451018777	42003	40.5042992	-79.8364410	317.601540
451018923	42003	40.3590508	-80.1153336	317.601540
451019115	42003	40.4015503	-79.9031601	317.601540
451019181	42003	40.3737602	-80.0687485	317.601540
451019220	42003	40.6353684	-80.0604019	317.601540
451019301	42003	40.5747490	-80.0000610	317.601540
451019861	42003	40.5823708	-80.0533524	317.601540
451019862	42003	40.4440918	-80.0675507	317.601540
451020074	42003	40.4319916	-79.9277725	317.601540
451020157	42003	40.4498596	-80.1276779	317.601540
451021614	42003	40.4402199	-79.8901901	317.601540
451021695	42003	40.4503593	-79.9292831	317.601540
451021719	42003	40.5130691	-79.9185104	317.601540
451021954	42003	40.4160614	-79.8841171	317.601540
451022831	42003	40.4186592	-79.8881988	317.601540
451022832	42003	40.3714294	-79.8476791	317.601540
451022833	42003	40.4068184	-79.9127884	317.601540
451023212	42003	40.5419807	-79.7721100	317.601540
451024046	42003	40.4805489	-80.0414963	317.601540
451024433	42003	40.5393105	-80.1822205	317.601540
451024613	42003	40.4700203	-79.8962021	317.601540
451024686	42003	40.4085999	-79.9056778	317.601540
451024804	42003	40.4705200	-79.8066101	317.601540
451024819	42003	40.6164589	-79.9215012	317.601540
451025072	42003	40.3864288	-80.0477905	317.601540
451025496	42003	40.4015503	-79.9031601	317.601540
451025587	42003	40.4540291	-80.0599976	317.601540
451025979	42003	40.5430603	-80.0288696	317.601540
451026617	42003	40.5095100	-80.0292282	317.601540
451026739	42003	40.3304291	-79.8163300	317.601540
451026941	42003	40.4221115	-79.8638229	317.601540
451026969	42003	40.4479713	-79.7815933	317.601540
451027291	42003	40.4025993	-79.9063568	317.601540
451027506	42003	40.4413605	-79.9948502	317.601540
451027511	42003	40.3753090	-80.0310593	317.601540
451027664	42003	40.4564400	-80.0265122	317.601540
451027704	42003	40.3221817	-79.8476486	317.601540
451027938	42003	40.3669586	-80.0555191	317.601540
451028085	42003	40.4062118	-80.0338135	317.601540
451028170	42003	40.4303284	-79.7394714	317.601540
451028383	42003	40.5500793	-80.0046921	317.601540
451028384	42003	40.4157410	-80.1943436	317.601540
451028765	42003	40.4577904	-80.0295563	317.601540
451028961	42003	40.3700714	-79.9147263	317.601540
451029009	42003	40.4318085	-79.8936768	317.601540
451029517	42003	40.3237381	-79.9389801	317.601540
451029570	42003	40.4570198	-79.8235931	317.601540
451029571	42003	40.4364319	-79.9566498	317.601540
451029680	42003	40.3234596	-80.0832901	317.601540
451029828	42003	40.3687782	-79.9742889	317.601540
